,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
0,Wii Sports,Wii,Nintendo,Nintendo EAD,7.7,8.0,82.9,2006.0
1,Super Mario Bros.,NES,Nintendo,Nintendo EAD,10.0,8.2,40.24,1985.0
2,Counter-Strike: Global Offensive,PC,Valve,Valve Corporation,8.0,7.5,40.0,2012.0
3,Mario Kart Wii,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.32,2008.0
4,PLAYERUNKNOWN'S BATTLEGROUNDS,PC,PUBG Corporation,PUBG Corporation,8.6,4.7,36.6,2017.0
5,Minecraft,PC,Mojang,Mojang AB,10.0,7.8,33.15,2010.0
6,Wii Sports Resort,Wii,Nintendo,Nintendo EAD,8.0,8.8,33.13,2009.0
7,Pokemon Red / Green / Blue Version,GB,Nintendo,Game Freak,9.4,8.8,31.38,1998.0
8,New Super Mario Bros.,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,2006.0
9,New Super Mario Bros. Wii,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.3,2009.0
10,Tetris,GB,Nintendo,Bullet Proof Software,9.4,8.7,30.26,1989.0
11,Call of Duty: Modern Warfare,PS4,Activision,Infinity Ward,8.0,3.3,30.13,2019.0
12,Duck Hunt,NES,Nintendo,Nintendo R&D1,7.5,8.3,28.31,1985.0
13,Wii Play,Wii,Nintendo,Nintendo EAD,5.9,6.5,28.02,2007.0
14,Mario Kart 8 Deluxe,NS,Nintendo,Nintendo EPD,9.3,8.7,24.77,2017.0
15,Kinect Adventures!,X360,Microsoft Game Studios,Good Science Studio,6.7,8.833333333333334,24.0,2010.0
16,Nintendogs,DS,Nintendo,Nintendo EAD,8.4,8.5,23.96,2005.0
17,Mario Kart DS,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,2005.0
18,Pokemon Gold / Silver Version,GB,Nintendo,Game Freak,9.2,8.8,23.1,2000.0
19,Wii Fit,Wii,Nintendo,Nintendo EAD,7.9,7.666666666666667,22.67,2008.0
20,Wii Fit Plus,Wii,Nintendo,Nintendo EAD,8.0,7.666666666666667,21.13,2009.0
21,Super Mario World,SNES,Nintendo,Nintendo EAD,8.5,9.3,20.61,1991.0
22,Grand Theft Auto V,PS3,Rockstar Games,Rockstar North,9.4,8.3,20.32,2013.0
23,Grand Theft Auto V,PS4,Rockstar Games,Rockstar North,9.7,8.4,19.39,2014.0
24,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Nintendo SDD,8.1,7.733333333333333,19.01,2006.0
25,Super Smash Bros. Ultimate,NS,Nintendo,Bandai Namco Games,9.4,9.7,18.84,2018.0
26,Mario Kart 7,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,8.3,18.71,2011.0
27,Super Mario Land,GB,Nintendo,Nintendo R&D1,8.9,8.633333333333333,18.14,1989.0
28,Pokemon Diamond / Pearl Version,DS,Nintendo,Game Freak,8.6,8.700000000000001,17.67,2007.0
29,Super Mario Odyssey,NS,Nintendo,Nintendo EPD,9.9,9.0,17.41,2017.0
30,The Legend of Zelda: Breath of the Wild,NS,Nintendo,Nintendo EPD,9.9,10.0,17.41,2017.0
31,Pokemon Sword / Shield,NS,Nintendo,Game Freak,8.0,4.6,17.37,2019.0
32,Grand Theft Auto: San Andreas,PS2,Rockstar Games,Rockstar North,9.5,9.1,17.3,2004.0
33,Super Mario Bros. 3,NES,Nintendo,Nintendo R&D2,9.8,9.3,17.28,1990.0
34,Garry's Mod,PC,Valve,Facepunch Studios,4.833333333333333,7.766666666666666,16.9,2006.0
35,Pokemon X/Y,3DS,Nintendo,Game Freak,8.9,9.7,16.45,2013.0
36,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,Naughty Dog,9.2,8.4,16.25,2016.0
37,Pokemon Ruby / Sapphire Version,GBA,Nintendo,Game Freak,8.8,8.6,16.22,2003.0
38,Pokemon Sun/Moon,3DS,Nintendo,Game Freak,9.0,7.7,16.18,2016.0
39,Grand Theft Auto: Vice City,PS2,Rockstar Games,Rockstar North,9.6,8.8,16.15,2002.0
40,Grand Theft Auto V,X360,Rockstar Games,Rockstar North,10.0,8.566666666666666,15.86,2013.0
41,Pokemon Black / White Version,DS,Nintendo,Game Freak,8.6,9.0,15.64,2011.0
42,Call of Duty: Black Ops 3,PS4,Activision,Treyarch,8.1,4.9,15.09,2015.0
43,Counter-Strike: Source,PC,VU Games,Valve Software,9.3,6.533333333333334,15.0,2004.0
44,Sonic the Hedgehog,GEN,Sega,Sonic Team,8.6,8.3,15.0,1991.0
45,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Polyphony Digital,9.3,8.9,14.89,2001.0
46,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,Nintendo SDD,8.0,7.733333333333333,14.88,2007.0
47,Call of Duty: Modern Warfare 3,X360,Activision,Infinity Ward,8.7,5.633333333333333,14.82,2011.0
48,Call of Duty: Black Ops,X360,Activision,Treyarch,8.8,6.733333333333334,14.74,2010.0
49,Pokemon Yellow: Special Pikachu Edition,GB,Nintendo,Game Freak,8.7,8.8,14.64,1999.0
50,Halo 3,X360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,2007.0
51,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,Game Freak,8.3,7.4,14.27,2014.0
52,Terraria,PC,Unknown,Re-Logic,8.8,8.6,14.0,2011.0
53,Red Dead Redemption 2,PS4,Rockstar Games,Rockstar Games,9.8,7.9,13.94,2018.0
54,Call of Duty: Black Ops II,X360,Activision,Treyarch,9.3,5.266666666666667,13.86,2012.0
55,Call of Duty: Black Ops II,PS3,Activision,Treyarch,9.3,4.433333333333334,13.8,2012.0
56,Call of Duty: Modern Warfare 2,X360,Activision,Infinity Ward,9.5,9.0,13.53,2009.0
57,Animal Crossing: New Horizons,NS,Nintendo,Nintendo,9.0,5.4,13.41,2020.0
58,Call of Duty: WWII,PS4,Activision,Sledgehammer Games,8.0,4.3,13.4,2017.0
59,Call of Duty: Modern Warfare 3,PS3,Activision,Infinity Ward,8.8,5.533333333333334,13.35,2011.0
60,New Super Mario Bros. 2,3DS,Nintendo,Nintendo,7.5,7.3,13.34,2012.0
61,Super Smash Bros. Brawl,Wii,Nintendo,Project Sora,9.2,9.7,13.32,2008.0
62,Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,8.7,13.2,2018.0
63,Grand Theft Auto III,PS2,Rockstar Games,DMA Design,9.5,7.333333333333333,13.1,2001.0
64,Portal 2,PC,Valve,Valve Software,9.7,9.0,13.06,2011.0
65,Minecraft,X360,Microsoft Studios,Mojang,8.5,7.366666666666667,13.0,2013.0
66,Super Mario Galaxy,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.8,2007.0
67,Pokemon Heart Gold / Soul Silver Version,DS,Nintendo,Game Freak,8.6,8.200000000000001,12.72,2010.0
